asset_id,purchase_date,device_type,department,region,brand,model_year,age_in_months,battery_cycles,battery_health_percent,smart_sectors_reallocated,thermal_events_count,daily_usage_hours,usage_type,os,overheating_issues,performance_rating,total_incidents,critical_incidents,high_incidents,medium_incidents,low_incidents,avg_resolution_time_hours,incident_rate_per_month,critical_incident_ratio,battery_degradation_rate,thermal_events_per_month,risk_score,risk_label,data_completeness,created_at,purchase_year,age_in_months_recalc
LAP-0319,2025-07-29 22:04:48.000000000,laptop,Sales,India,Dell,2024,7,100,46.88,49,4,6.5,Office,Windows,False,2,9,0,1,3,5,6.36,9.0,0.0,7.5886,0.5714,0.351,medium,0.9,2025-08-15 22:04:48.000000000,2025,5
LAP-0320,2025-03-30 03:50:24.000000000,laptop,Sales,US,Acer,2024,11,126,40.0,59,2,4.0,Office,Windows,False,2,12,0,2,4,6,9.86,10.909,0.0,5.4545,0.1818,0.419,medium,1.0,2025-04-29 03:50:24.000000000,2025,10
LAP-0321,2022-01-28 10:33:35.999999983,laptop,HR,EU,Acer,2021,49,100,40.17,38,8,5.4,Creative,Windows,False,2,11,0,2,4,5,5.61,2.245,0.0,1.221,0.1633,0.47,medium,1.0,2022-02-03 10:33:35.999999983,2025,4
LAP-0322,2022-10-29 09:35:59.999999992,laptop,Finance,India,Apple,2021,40,100,56.96,39,18,9.2,Creative,macOS,True,2,8,0,1,3,4,8.64,2.0,0.0,1.076,0.45,0.421,medium,1.0,2022-11-23 09:35:59.999999992,2025,4
LAP-0323,2022-12-29 06:43:12.000000000,laptop,Finance,US,HP,2022,38,100,56.55,37,8,3.4,Student,Windows,False,2,8,0,1,3,4,5.62,2.105,0.0,1.1434,0.2105,0.374,medium,0.42,2023-01-13 06:43:12.000000000,2025,3
LAP-0324,2024-07-29 15:21:36.000000000,laptop,HR,EU,Asus,2023,19,100,48.59,32,8,9.7,Gaming,Windows,False,2,11,0,2,4,5,7.12,5.789,0.0,2.7058,0.4211,0.374,medium,0.56,2024-08-01 15:21:36.000000000,2026,1
LAP-0325,2021-11-28 13:26:23.999999992,laptop,IT,India,HP,2021,51,166,79.14,17,3,6.7,Office,Windows,False,5,2,0,0,0,2,5.17,0.392,0.0,0.409,0.0588,0.224,low,1.0,2021-12-04 13:26:23.999999992,2025,8
LAP-0326,2020-09-28 09:35:59.999999992,laptop,Sales,US,Asus,2020,65,100,22.0,99,50,5.9,Office,Windows,False,1,18,4,5,3,6,11.59,2.769,0.2222,1.2,0.7692,0.908,high,1.0,2020-10-01 09:35:59.999999992,2025,2
LAP-0327,2024-06-29 04:47:59.999999992,laptop,HR,EU,Dell,2024,20,139,43.41,45,32,6.9,Programming,Windows,True,2,8,0,1,3,4,6.23,4.0,0.0,2.8295,1.6,0.481,medium,0.84,2024-07-29 04:47:59.999999992,2025,7
LAP-0328,2023-04-30 00:57:36.000000000,laptop,Sales,India,Apple,2023,34,100,55.85,48,7,6.0,Creative,macOS,False,2,8,0,1,3,4,9.96,2.353,0.0,1.2985,0.2059,0.385,medium,1.0,2023-05-29 00:57:36.000000000,2025,4
LAP-0329,2024-11-28 09:36:00.000000000,laptop,Finance,US,Apple,2024,15,100,40.0,70,31,5.2,Creative,macOS,True,1,13,0,2,5,6,7.25,8.667,0.0,4.0,2.0667,0.575,high,1.0,2024-11-29 09:36:00.000000000,2025,7
LAP-0330,2023-01-28 17:16:48.000000000,laptop,Sales,India,Asus,2023,37,100,53.05,34,7,11.1,Programming,Windows,False,2,10,0,2,4,4,8.81,2.703,0.0,1.2689,0.1892,0.39,medium,1.0,2023-02-27 17:16:48.000000000,2026,1
LAP-0331,2024-10-28 23:02:24.000000000,laptop,IT,India,Acer,2024,16,158,40.0,76,8,3.2,Student,Windows,False,1,17,0,3,6,8,12.36,10.625,0.0,3.75,0.5,0.537,medium,1.0,2024-11-10 23:02:24.000000000,2025,11
LAP-0332,2025-02-27 17:16:48.000000000,laptop,Engineering,India,Apple,2024,12,217,50.5,52,0,5.3,Creative,macOS,False,2,12,0,2,4,6,8.02,10.0,0.0,4.125,0.0,0.373,medium,0.31,2025-03-27 17:16:48.000000000,2025,12
LAP-0333,2019-09-29 02:52:47.999999992,laptop,Finance,India,HP,2019,77,100,51.0,69,41,9.8,Gaming,Windows,False,3,14,3,4,3,4,9.32,1.818,0.2143,0.6364,0.5325,0.714,high,1.0,2019-10-20 02:52:47.999999992,2025,4
LAP-0334,2023-02-28 03:50:23.999999992,laptop,Sales,India,Acer,2023,36,100,40.0,49,37,4.8,Office,Windows,True,2,9,0,1,3,5,9.74,2.5,0.0,1.6667,1.0278,0.561,high,1.0,2023-03-26 03:50:23.999999992,2025,6
LAP-0335,2024-06-29 04:47:59.999999992,laptop,Sales,India,Dell,2024,20,156,40.0,64,39,10.1,Programming,Windows,True,1,19,0,3,7,9,10.04,9.5,0.0,3.0,1.95,0.666,high,1.0,2024-07-13 04:47:59.999999992,2025,8
LAP-0336,2023-05-30 11:31:11.999999992,laptop,Engineering,EU,Asus,2022,33,100,76.26,0,40,5.6,Creative,Windows,True,4,4,0,0,1,3,4.92,1.212,0.0,0.7194,1.2121,0.328,low,0.89,2023-06-12 11:31:11.999999992,2026,1
LAP-0337,2024-08-29 01:55:11.999999992,laptop,Engineering,India,Acer,2024,18,100,40.0,52,25,4.6,Office,Windows,True,1,19,0,3,7,9,9.82,10.556,0.0,3.3333,1.3889,0.582,high,1.0,2024-09-25 01:55:11.999999992,2026,1
LAP-0338,2022-03-30 07:40:47.999999992,laptop,Sales,India,Acer,2022,47,177,40.0,62,45,11.0,Creative,Windows,True,1,19,0,3,7,9,6.72,4.043,0.0,1.2766,0.9574,0.742,high,1.0,2022-04-03 07:40:47.999999992,2025,7
LAP-0339,2022-02-27 21:07:11.999999992,laptop,HR,India,Acer,2022,48,100,71.75,27,2,4.3,Office,Windows,False,4,4,0,0,1,3,6.15,0.833,0.0,0.5885,0.0417,0.273,low,1.0,2022-03-06 21:07:11.999999992,2025,9
LAP-0340,2019-11-29 00:00:00.000000000,laptop,IT,EU,Apple,2019,75,245,20.0,100,49,7.8,Creative,macOS,False,2,18,3,5,4,6,11.53,2.4,0.1667,1.0667,0.6533,0.926,high,0.74,2019-12-21 00:00:00.000000000,2025,11
LAP-0341,2020-10-28 20:09:35.999999992,laptop,Finance,India,Dell,2020,64,129,30.0,96,47,5.7,Programming,Windows,False,1,20,3,5,4,8,8.15,3.125,0.15,1.0938,0.7344,0.888,high,1.0,2020-11-07 20:09:35.999999992,2025,8
LAP-0342,2024-03-29 21:07:12.000000000,laptop,Engineering,EU,HP,2024,23,100,51.96,45,36,5.2,Programming,Windows,True,2,12,0,2,4,6,8.42,5.217,0.0,2.0887,1.5652,0.522,medium,1.0,2024-04-05 21:07:12.000000000,2025,3
LAP-0343,2025-04-29 14:24:00.000000000,laptop,IT,India,Dell,2025,10,165,53.2,58,0,6.5,Creative,Windows,False,2,10,0,2,4,4,9.2,10.0,0.0,4.68,0.0,0.354,medium,1.0,2025-05-20 14:24:00.000000000,2025,9
LAP-0344,2022-04-29 18:14:24.000000000,laptop,Sales,EU,Lenovo,2022,46,225,40.0,76,8,10.1,Gaming,Windows,False,1,12,0,2,4,6,6.5,2.609,0.0,1.3043,0.1739,0.55,high,1.0,2022-05-14 18:14:24.000000000,2025,11
LAP-0345,2023-06-29 22:04:48.000000000,laptop,Sales,India,Apple,2023,32,166,47.42,56,50,5.9,Creative,macOS,True,2,12,0,2,4,6,10.19,3.75,0.0,1.6431,1.5625,0.63,high,1.0,2023-07-14 22:04:48.000000000,2025,8
LAP-0346,2023-05-30 11:31:11.999999992,laptop,Engineering,US,Apple,2022,33,201,77.21,21,9,9.0,Gaming,macOS,False,5,2,0,0,0,2,6.2,0.606,0.0,0.6906,0.2727,0.224,low,0.77,2023-06-03 11:31:11.999999992,2025,11
LAP-0347,2019-12-29 10:33:36.000000009,laptop,Engineering,US,Asus,2019,74,192,28.0,90,45,7.9,Office,Windows,False,1,20,3,5,5,7,6.62,2.703,0.15,0.973,0.6081,0.89,high,1.0,2020-01-21 10:33:36.000000009,2025,10
LAP-0348,2019-11-29 00:00:00.000000000,laptop,Engineering,US,Asus,2019,75,168,49.0,82,36,11.7,Creative,Windows,True,3,17,2,6,3,6,11.0,2.267,0.1176,0.68,0.48,0.756,high,0.86,2019-12-22 00:00:00.000000000,2025,8
LAP-0349,2023-11-29 02:52:48.000000000,laptop,Operations,India,Lenovo,2023,27,100,54.05,55,9,3.7,Student,Windows,False,2,11,0,2,4,5,10.81,4.074,0.0,1.7019,0.3333,0.427,medium,1.0,2023-12-05 02:52:48.000000000,2025,9
LAP-0350,2023-04-30 00:57:36.000000000,laptop,Sales,US,HP,2022,34,100,47.35,37,28,5.0,Office,Windows,True,2,9,0,1,3,5,6.64,2.647,0.0,1.5485,0.8235,0.478,medium,0.79,2023-05-24 00:57:36.000000000,2025,2
LAP-0351,2020-02-28 07:40:47.999999975,laptop,Operations,US,Lenovo,2020,72,100,15.0,100,46,3.2,Office,Windows,False,2,20,3,5,6,6,8.57,2.778,0.15,1.1806,0.6389,0.946,high,1.0,2020-03-19 07:40:47.999999975,2025,7
LAP-0352,2024-07-29 15:21:36.000000000,laptop,HR,US,Asus,2024,19,142,40.0,66,26,11.1,Creative,Windows,True,1,19,0,3,7,9,8.16,10.0,0.0,3.1579,1.3684,0.616,high,1.0,2024-08-24 15:21:36.000000000,2025,8
LAP-0353,2020-04-29 04:47:59.999999983,laptop,Sales,India,Apple,2019,70,169,15.0,98,49,6.9,Programming,macOS,False,1,19,4,5,4,6,11.32,2.714,0.2105,1.2143,0.7,0.94,high,0.43,2020-05-04 04:47:59.999999983,2025,10
LAP-0354,2021-08-29 05:45:36.000000000,laptop,Engineering,India,HP,2021,54,100,40.0,69,10,3.0,Office,Windows,True,1,19,0,3,7,9,10.37,3.519,0.0,1.1111,0.1852,0.631,high,0.95,2021-09-18 05:45:36.000000000,2025,6
LAP-0355,2023-10-29 16:19:12.000000000,laptop,IT,US,Apple,2023,28,100,40.0,75,12,3.2,Office,macOS,True,1,15,0,3,6,6,7.41,5.357,0.0,2.1429,0.4286,0.556,high,1.0,2023-11-10 16:19:12.000000000,2025,9
LAP-0356,2024-01-29 00:00:00.000000000,laptop,Engineering,US,HP,2024,25,132,67.68,27,7,3.3,Student,Windows,False,4,2,0,0,0,2,2.26,0.8,0.0,1.2928,0.28,0.235,low,1.0,2024-01-30 00:00:00.000000000,2025,9
LAP-0357,2023-03-30 14:23:59.999999992,laptop,Engineering,US,Asus,2022,35,100,85.98,18,0,4.9,Student,Windows,False,5,2,0,0,0,2,3.03,0.571,0.0,0.4006,0.0,0.164,low,0.61,2023-04-27 14:23:59.999999992,2025,4
LAP-0358,2024-05-29 18:14:24.000000000,laptop,Operations,EU,Acer,2024,21,313,40.0,82,22,8.3,Creative,Windows,True,1,17,0,3,6,8,10.33,8.095,0.0,2.8571,1.0476,0.616,high,1.0,2024-06-06 18:14:24.000000000,2025,12
LAP-0359,2023-07-30 08:38:24.000000000,laptop,Sales,India,Asus,2022,31,100,52.89,32,33,10.4,Creative,Windows,True,2,11,0,2,4,5,8.25,3.548,0.0,1.5197,1.0645,0.488,medium,0.62,2023-07-31 08:38:24.000000000,2026,1
LAP-0360,2024-08-29 01:55:11.999999992,laptop,Sales,EU,Lenovo,2023,18,182,67.13,19,7,5.0,Office,Windows,False,4,3,0,0,1,2,5.43,1.667,0.0,1.8261,0.3889,0.216,low,0.86,2024-09-03 01:55:11.999999992,2025,10
LAP-0361,2020-05-29 15:21:35.999999992,laptop,Sales,India,Asus,2020,69,169,19.0,93,46,7.9,Creative,Windows,True,2,19,3,5,5,6,8.51,2.754,0.1579,1.1739,0.6667,0.906,high,1.0,2020-06-20 15:21:35.999999992,2025,12
LAP-0362,2023-11-29 02:52:48.000000000,laptop,HR,India,Acer,2023,27,131,66.95,28,33,7.1,Office,Windows,True,4,3,0,0,1,2,8.92,1.111,0.0,1.2241,1.2222,0.357,medium,1.0,2023-12-05 02:52:48.000000000,2025,12
LAP-0363,2025-01-28 06:43:12.000000000,laptop,Engineering,India,Asus,2025,13,124,50.5,47,22,5.1,Office,Windows,True,2,9,0,1,3,5,6.76,6.923,0.0,3.8077,1.6923,0.423,medium,1.0,2025-02-26 06:43:12.000000000,2025,6
LAP-0364,2024-04-29 07:40:47.999999992,laptop,IT,India,HP,2024,22,131,67.17,20,3,8.6,Programming,Windows,False,4,4,0,0,1,3,4.85,1.818,0.0,1.4923,0.1364,0.22,low,1.0,2024-05-20 07:40:47.999999992,2025,7
LAP-0365,2019-06-29 19:11:59.999999975,laptop,Engineering,US,Lenovo,2019,80,262,39.0,69,44,9.2,Gaming,Windows,True,2,17,3,5,3,6,9.07,2.125,0.1765,0.7625,0.55,0.787,high,1.0,2019-07-02 19:11:59.999999975,2025,11
LAP-0366,2023-03-30 14:23:59.999999992,laptop,Finance,India,Acer,2022,35,100,40.0,52,0,4.5,Office,Windows,False,2,8,0,1,3,4,8.0,2.286,0.0,1.7143,0.0,0.407,medium,0.41,2023-04-14 14:23:59.999999992,2025,7
LAP-0367,2023-09-29 05:45:36.000000000,laptop,Sales,EU,Asus,2022,29,100,59.97,31,3,3.9,Student,Windows,False,2,8,0,1,3,4,9.85,2.759,0.0,1.3803,0.1034,0.314,low,1.0,2023-10-04 05:45:36.000000000,2025,2
LAP-0368,2024-05-29 18:14:24.000000000,laptop,Operations,US,Asus,2023,21,163,46.51,40,31,5.6,Office,Windows,True,2,10,0,2,4,4,10.71,4.762,0.0,2.5471,1.4762,0.481,medium,0.73,2024-06-26 18:14:24.000000000,2025,7
LAP-0369,2020-07-29 12:28:48.000000000,laptop,HR,India,Dell,2020,67,203,34.0,100,47,11.8,Programming,Windows,True,1,17,2,4,4,7,7.81,2.537,0.1176,0.9851,0.7015,0.863,high,1.0,2020-08-22 12:28:48.000000000,2025,10
LAP-0370,2022-12-29 06:43:12.000000000,laptop,Engineering,India,Acer,2021,38,100,84.52,20,4,7.2,Office,Windows,False,5,1,0,0,0,1,5.01,0.263,0.0,0.4074,0.1053,0.184,low,1.0,2023-01-12 06:43:12.000000000,2025,6
LAP-0371,2019-08-29 16:19:11.999999983,laptop,Sales,US,Acer,2018,78,176,23.0,88,45,9.5,Programming,Windows,True,1,20,4,5,5,6,8.4,2.564,0.2,0.9872,0.5769,0.899,high,1.0,2019-09-16 16:19:11.999999983,2025,8
LAP-0372,2022-05-30 04:48:00.000000000,laptop,IT,US,Acer,2021,45,100,40.0,61,36,10.5,Creative,Windows,True,1,12,0,2,4,6,8.02,2.667,0.0,1.3333,0.8,0.63,high,1.0,2022-06-15 04:48:00.000000000,2026,1
LAP-0373,2024-12-28 20:09:36.000000000,laptop,Sales,US,Dell,2024,14,126,40.0,72,4,4.3,Student,Windows,False,1,16,0,3,6,7,8.51,11.429,0.0,4.2857,0.2857,0.499,medium,1.0,2025-01-03 20:09:36.000000000,2025,11
LAP-0374,2023-11-29 02:52:48.000000000,laptop,IT,US,Lenovo,2022,27,176,67.53,18,1,7.1,Creative,Windows,False,4,4,0,0,1,3,4.53,1.481,0.0,1.2026,0.037,0.217,low,1.0,2023-12-24 02:52:48.000000000,2025,11
LAP-0375,2019-02-28 00:57:36.000000000,laptop,Engineering,India,Asus,2019,84,115,15.0,99,45,3.7,Office,Windows,False,1,18,3,4,5,6,7.89,2.143,0.1667,1.0119,0.5357,0.921,high,0.62,2019-03-24 00:57:36.000000000,2025,9
LAP-0376,2021-10-29 02:52:47.999999992,laptop,Sales,India,Acer,2021,52,173,40.0,67,0,8.6,Gaming,Windows,False,1,20,0,4,8,8,7.57,3.846,0.0,1.1538,0.0,0.592,high,1.0,2021-11-12 02:52:47.999999992,2025,9
LAP-0377,2021-04-29 11:31:12.000000000,laptop,Engineering,India,Apple,2021,58,157,51.33,49,1,11.7,Creative,macOS,False,2,9,0,1,3,5,6.64,1.552,0.0,0.8391,0.0172,0.435,medium,1.0,2021-05-26 11:31:12.000000000,2025,6
LAP-0378,2021-07-29 19:12:00.000000000,laptop,IT,India,Dell,2020,55,100,55.03,50,38,6.1,Programming,Windows,True,2,11,0,2,4,5,11.55,2.0,0.0,0.8176,0.6909,0.589,high,1.0,2021-08-22 19:12:00.000000000,2025,6
LAP-0379,2020-11-28 06:43:12.000000000,laptop,Engineering,US,HP,2019,63,154,23.0,88,45,6.4,Office,Windows,True,1,19,2,4,6,7,10.4,3.016,0.1053,1.2222,0.7143,0.87,high,1.0,2020-12-06 06:43:12.000000000,2025,11
LAP-0380,2021-01-28 03:50:23.999999992,laptop,Engineering,India,Lenovo,2021,61,100,37.0,70,37,7.5,Programming,Windows,False,2,14,2,4,3,5,10.51,2.295,0.1429,1.0328,0.6066,0.713,high,1.0,2021-02-26 03:50:23.999999992,2025,7
LAP-0381,2025-07-29 22:04:48.000000000,laptop,IT,US,Acer,2025,7,160,86.5,13,6,9.1,Creative,Windows,False,5,2,0,0,0,2,4.24,2.0,0.0,1.9286,0.8571,0.118,low,1.0,2025-08-05 22:04:48.000000000,2025,5
LAP-0382,2022-12-29 06:43:12.000000000,laptop,Sales,EU,HP,2022,38,100,40.0,60,5,3.1,Student,Windows,False,1,16,0,3,6,7,6.65,4.211,0.0,1.5789,0.1316,0.529,medium,1.0,2023-01-06 06:43:12.000000000,2025,7
LAP-0383,2021-03-30 00:57:36.000000000,laptop,HR,US,Asus,2021,59,153,65.54,18,47,11.4,Gaming,Windows,True,4,3,0,0,1,2,6.1,0.508,0.0,0.5841,0.7966,0.463,medium,1.0,2021-04-12 00:57:36.000000000,2025,6
LAP-0384,2022-10-29 09:35:59.999999992,laptop,Operations,India,Acer,2022,40,167,80.34,24,1,7.5,Programming,Windows,False,5,1,0,0,0,1,2.1,0.25,0.0,0.4915,0.025,0.194,low,1.0,2022-11-04 09:35:59.999999992,2025,8
LAP-0385,2020-07-29 12:28:48.000000000,laptop,IT,India,Asus,2020,67,148,35.0,73,41,11.1,Programming,Windows,True,2,16,3,4,4,5,6.43,2.388,0.1875,0.9701,0.6119,0.772,high,0.85,2020-08-16 12:28:48.000000000,2025,9
LAP-0386,2022-10-29 09:35:59.999999992,laptop,Engineering,EU,Asus,2021,40,100,71.86,3,29,11.2,Programming,Windows,True,4,2,0,0,0,2,7.41,0.5,0.0,0.7035,0.725,0.296,low,1.0,2022-10-31 09:35:59.999999992,2025,4
LAP-0387,2022-05-30 04:48:00.000000000,laptop,HR,India,Asus,2022,45,100,55.76,33,9,5.8,Programming,Windows,False,2,8,0,1,3,4,9.55,1.778,0.0,0.9831,0.2,0.386,medium,1.0,2022-06-07 04:48:00.000000000,2025,3
LAP-0388,2020-10-28 20:09:35.999999992,laptop,Engineering,EU,Asus,2020,64,100,23.0,89,49,4.5,Office,Windows,False,2,20,3,7,4,6,4.45,3.125,0.15,1.2031,0.7656,0.9,high,1.0,2020-11-08 20:09:35.999999992,2025,5
LAP-0389,2019-10-29 13:26:23.999999992,laptop,Engineering,India,Apple,2019,76,100,28.0,95,49,4.5,Student,macOS,True,1,18,2,4,6,6,9.49,2.368,0.1111,0.9474,0.6447,0.896,high,1.0,2019-10-30 13:26:23.999999992,2025,10
LAP-0390,2019-07-30 05:45:35.999999983,laptop,Finance,EU,Acer,2018,79,100,49.0,74,33,3.7,Student,Windows,False,2,16,3,5,3,5,4.18,2.025,0.1875,0.6456,0.4177,0.718,high,0.66,2019-08-21 05:45:35.999999983,2025,8
LAP-0391,2025-01-28 06:43:12.000000000,laptop,IT,US,Apple,2024,13,117,40.0,70,6,7.5,Office,macOS,False,1,19,0,3,7,9,11.9,14.615,0.0,4.6154,0.4615,0.531,medium,1.0,2025-02-26 06:43:12.000000000,2025,7
LAP-0392,2019-12-29 10:33:36.000000009,laptop,HR,India,Lenovo,2018,74,100,19.0,100,50,4.0,Office,Windows,False,2,20,5,5,4,6,10.24,2.703,0.25,1.0946,0.6757,0.952,high,1.0,2020-01-04 10:33:36.000000009,2025,9
LAP-0393,2024-09-28 12:28:48.000000000,laptop,HR,India,Asus,2024,17,100,67.9,23,1,5.8,Creative,Windows,False,4,5,0,0,2,3,5.12,2.941,0.0,1.8882,0.0588,0.216,low,1.0,2024-10-14 12:28:48.000000000,2025,8
LAP-0394,2025-06-29 11:31:12.000000000,laptop,HR,EU,Apple,2025,8,100,49.28,42,8,3.3,Office,macOS,False,2,11,0,2,4,5,5.23,11.0,0.0,6.34,1.0,0.369,medium,1.0,2025-07-26 11:31:12.000000000,2026,1
LAP-0395,2025-03-30 03:50:24.000000000,laptop,Sales,India,HP,2025,11,100,51.62,45,5,5.1,Office,Windows,False,2,8,0,1,3,4,7.51,7.273,0.0,4.3982,0.4545,0.334,low,1.0,2025-04-19 03:50:24.000000000,2025,4
LAP-0396,2022-04-29 18:14:24.000000000,laptop,Engineering,US,Lenovo,2021,46,100,40.0,48,6,4.8,Office,Windows,False,2,10,0,2,4,4,6.37,2.174,0.0,1.3043,0.1304,0.466,medium,1.0,2022-05-11 18:14:24.000000000,2025,5
LAP-0397,2023-03-30 14:23:59.999999992,laptop,IT,India,Asus,2022,35,104,42.11,43,37,5.6,Office,Windows,True,2,11,0,2,4,5,9.3,3.143,0.0,1.654,1.0571,0.562,high,0.87,2023-04-10 14:23:59.999999992,2025,6
LAP-0398,2023-05-30 11:31:11.999999992,laptop,IT,India,Acer,2022,33,200,54.17,62,9,5.7,Programming,Windows,False,2,11,0,2,4,5,9.8,3.333,0.0,1.3888,0.2727,0.453,medium,1.0,2023-06-28 11:31:11.999999992,2025,11
LAP-0399,2024-09-28 12:28:48.000000000,laptop,IT,US,Dell,2023,17,100,69.8,12,9,9.8,Creative,Windows,False,4,3,0,0,1,2,7.49,1.765,0.0,1.7765,0.5294,0.201,low,1.0,2024-10-25 12:28:48.000000000,2026,1
LAP-0400,2023-08-29 19:12:00.000000000,laptop,Sales,US,Lenovo,2022,30,116,57.95,56,4,6.7,Programming,Windows,False,2,11,0,2,4,5,7.07,3.667,0.0,1.4017,0.1333,0.406,medium,1.0,2023-09-27 19:12:00.000000000,2025,9
LAP-0401,2023-05-30 11:31:11.999999992,laptop,IT,India,Asus,2023,33,154,46.68,62,8,5.7,Programming,Windows,False,2,11,0,2,4,5,4.99,3.333,0.0,1.6158,0.2424,0.468,medium,1.0,2023-06-09 11:31:11.999999992,2025,12
LAP-0402,2025-02-27 17:16:48.000000000,laptop,HR,India,Apple,2024,12,100,40.0,48,1,5.1,Office,macOS,False,2,10,0,2,4,4,10.75,8.333,0.0,5.0,0.0833,0.375,medium,1.0,2025-03-02 17:16:48.000000000,2025,5
LAP-0403,2023-04-30 00:57:36.000000000,laptop,Engineering,US,Apple,2023,34,100,47.8,43,1,10.3,Gaming,macOS,False,2,10,0,2,4,4,12.01,2.941,0.0,1.5353,0.0294,0.391,medium,0.66,2023-05-13 00:57:36.000000000,2025,4
LAP-0404,2025-03-30 03:50:24.000000000,laptop,Engineering,India,Asus,2025,11,100,40.0,78,37,3.5,Office,Windows,True,1,15,0,3,6,6,12.18,13.636,0.0,5.4545,3.3636,0.627,high,0.81,2025-04-26 03:50:24.000000000,2025,9
LAP-0405,2024-06-29 04:47:59.999999992,laptop,Finance,India,Dell,2024,20,129,40.0,76,34,4.2,Office,Windows,True,1,17,0,3,6,8,8.63,8.5,0.0,3.0,1.7,0.65,high,1.0,2024-07-02 04:47:59.999999992,2025,11
LAP-0406,2023-06-29 22:04:48.000000000,laptop,IT,EU,Dell,2023,32,100,64.94,26,5,5.0,Office,Windows,False,4,2,0,0,0,2,4.95,0.625,0.0,1.0956,0.1562,0.246,low,0.9,2023-07-14 22:04:48.000000000,2025,9
LAP-0407,2024-10-28 23:02:24.000000000,laptop,Operations,India,Asus,2024,16,100,75.58,7,7,4.8,Student,Windows,False,4,2,0,0,0,2,5.85,1.25,0.0,1.5263,0.4375,0.156,low,0.35,2024-11-13 23:02:24.000000000,2025,6
LAP-0408,2024-04-29 07:40:47.999999992,laptop,IT,US,Acer,2024,22,186,72.71,21,5,10.1,Gaming,Windows,False,4,5,0,0,2,3,5.77,2.273,0.0,1.2405,0.2273,0.226,low,0.86,2024-05-28 07:40:47.999999992,2025,6
LAP-0409,2025-05-30 00:57:36.000000000,laptop,HR,India,Dell,2025,9,188,40.0,59,3,11.8,Gaming,Windows,False,1,19,0,3,7,9,7.34,19.0,0.0,6.6667,0.3333,0.489,medium,1.0,2025-06-12 00:57:36.000000000,2025,6
LAP-0410,2022-05-30 04:48:00.000000000,laptop,Sales,India,Dell,2022,45,100,40.0,57,23,6.7,Creative,Windows,True,1,16,0,3,6,7,8.19,3.556,0.0,1.3333,0.5111,0.61,high,0.8,2022-06-16 04:48:00.000000000,2025,3
LAP-0411,2023-03-30 14:23:59.999999992,laptop,Engineering,EU,Dell,2023,35,100,54.41,45,5,11.2,Creative,Windows,False,2,8,0,1,3,4,7.3,2.286,0.0,1.3026,0.1429,0.377,medium,1.0,2023-04-02 14:23:59.999999992,2025,3
LAP-0412,2023-11-29 02:52:48.000000000,laptop,Engineering,India,Lenovo,2023,27,100,48.79,30,9,10.2,Gaming,Windows,False,2,8,0,1,3,4,7.28,2.963,0.0,1.8967,0.3333,0.36,medium,0.41,2023-12-19 02:52:48.000000000,2025,2
LAP-0413,2019-05-30 08:38:23.999999975,laptop,Engineering,EU,Lenovo,2019,81,148,43.0,84,44,10.0,Creative,Windows,False,3,17,3,4,3,7,10.6,2.099,0.1765,0.7037,0.5432,0.807,high,1.0,2019-06-10 08:38:23.999999975,2025,6
LAP-0414,2023-04-30 00:57:36.000000000,laptop,IT,US,Apple,2023,34,163,40.0,77,2,7.5,Office,macOS,False,1,12,0,2,4,6,5.96,3.529,0.0,1.7647,0.0588,0.503,medium,1.0,2023-05-27 00:57:36.000000000,2025,9
LAP-0415,2024-12-28 20:09:36.000000000,laptop,HR,US,HP,2023,14,100,47.36,35,15,9.4,Creative,Windows,True,2,10,0,2,4,4,7.64,7.143,0.0,3.76,1.0714,0.391,medium,0.75,2025-01-18 20:09:36.000000000,2025,2
LAP-0416,2023-07-30 08:38:24.000000000,laptop,Sales,US,Acer,2022,31,100,40.0,57,17,4.1,Student,Windows,True,2,10,0,2,4,4,11.43,3.226,0.0,1.9355,0.5484,0.497,medium,1.0,2023-08-18 08:38:24.000000000,2025,10
LAP-0417,2019-06-29 19:11:59.999999975,laptop,Sales,US,Apple,2018,80,183,19.0,96,48,10.6,Creative,macOS,False,1,18,4,5,4,5,0.0,2.25,0.2222,1.0125,0.6,0.917,high,0.42,2019-07-21 19:11:59.999999975,2025,7
LAP-0418,2021-11-28 13:26:23.999999992,laptop,Engineering,EU,HP,2020,51,127,60.45,28,6,3.8,Office,Windows,False,4,3,0,0,1,2,7.62,0.588,0.0,0.7755,0.1176,0.315,low,0.3,2021-12-09 13:26:23.999999992,2025,12
LAP-0419,2024-05-29 18:14:24.000000000,laptop,Operations,US,Dell,2024,21,125,40.0,64,37,8.8,Gaming,Windows,True,1,14,0,2,5,7,5.74,6.667,0.0,2.8571,1.7619,0.61,high,1.0,2024-06-28 18:14:24.000000000,2025,4
LAP-0420,2023-07-30 08:38:24.000000000,laptop,HR,US,Asus,2022,31,100,58.31,40,2,4.9,Student,Windows,False,2,9,0,1,3,5,4.3,2.903,0.0,1.3448,0.0645,0.347,low,1.0,2023-08-27 08:38:24.000000000,2025,3
LAP-0421,2022-08-29 12:28:48.000000000,laptop,Sales,US,HP,2022,42,100,40.0,44,39,3.9,Office,Windows,True,2,9,0,1,3,5,7.43,2.143,0.0,1.4286,0.9286,0.572,high,1.0,2022-09-14 12:28:48.000000000,2025,7
